trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB08_Seokhyun::LG_1p6mps,AB08_Seokhyun,LG_1p6mps,hip,hip_flexion_r,0.1267840761,0.15318877020000002,0.026404694100000015,0.9236086628,0.9145615568000001,-0.009047105999999916
AB08_Seokhyun::RA_0p8mps,AB08_Seokhyun,RA_0p8mps,hip,hip_flexion_r,0.2534323724,0.2016413772,-0.051790995199999995,0.7421851645,0.6857594653,-0.05642569920000007
AB08_Seokhyun::RD_0p8mps,AB08_Seokhyun,RD_0p8mps,hip,hip_flexion_r,0.1371958604,0.2103256748,0.07312981439999999,0.8389978366,0.48788160340000003,-0.3511162332
AB01_Jinwoo::LG_0p8mps,AB01_Jinwoo,LG_0p8mps,knee,knee_angle_r,0.10544634700000001,0.1494415693,0.043995222299999984,0.7151911559,0.3994946727,-0.31569648320000004
AB01_Jinwoo::LG_1p2mps,AB01_Jinwoo,LG_1p2mps,knee,knee_angle_r,0.0863353798,0.20929163080000002,0.12295625100000002,0.9004591497000001,0.4397176756,-0.46074147410000005
AB01_Jinwoo::LG_1p6mps,AB01_Jinwoo,LG_1p6mps,knee,knee_angle_r,0.0835691038,0.21623901850000002,0.1326699147,0.9480875229,0.6307927285,-0.31729479439999997
AB01_Jinwoo::RA_0p8mps,AB01_Jinwoo,RA_0p8mps,knee,knee_angle_r,0.11855300760000001,0.12946032770000002,0.010907320100000006,0.8858115132000001,0.7888682528000001,-0.09694326040000001
AB01_Jinwoo::RD_0p8mps,AB01_Jinwoo,RD_0p8mps,knee,knee_angle_r,0.2630087671,0.3840971238,0.12108835670000001,0.4805337062,0.15852215090000002,-0.32201155530000003
AB02_Oscar::LG_0p8mps,AB02_Oscar,LG_0p8mps,knee,knee_angle_r,0.1774965165,0.2164907609,0.03899424439999999,0.2416328483,0.0608504751,-0.1807823732
AB02_Oscar::LG_1p2mps,AB02_Oscar,LG_1p2mps,knee,knee_angle_r,0.054506028500000005,0.1050454341,0.0505394056,0.8992887914000001,0.6696154104,-0.229673381
AB02_Oscar::LG_1p6mps,AB02_Oscar,LG_1p6mps,knee,knee_angle_r,0.0633365604,0.20205371430000002,0.1387171539,0.9751468561000001,0.8682323424,-0.10691451370000005
AB02_Oscar::RA_0p8mps,AB02_Oscar,RA_0p8mps,knee,knee_angle_r,0.2148372326,0.1270053494,-0.08783188320000002,0.7265158845,0.9242640835,0.19774819899999996
AB02_Oscar::RD_0p8mps,AB02_Oscar,RD_0p8mps,knee,knee_angle_r,0.21856078210000002,0.22873121570000002,0.0101704336,0.8816085767,0.8333068693,-0.04830170740000006
AB03_Ilseung::LG_0p8mps,AB03_Ilseung,LG_0p8mps,knee,knee_angle_r,0.0479447197,0.0513272855,0.003382565800000001,0.8886185440000001,0.8745314744,-0.014087069600000057
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,knee,knee_angle_r,0.0690840945,0.061574374,-0.007509720499999997,0.9435685002,0.9413788767000001,-0.0021896234999999598
