trial,subject,condition,joint,channel,rmse_full,rmse_single,delta_rmse,r2_full,r2_single,delta_r2
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,hip,hip_flexion_r,0.1480899977,0.0911856136,-0.0569043841,0.7477354339000001,0.9043560620000001,0.1566206281
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,hip,hip_flexion_l,0.1642939964,0.1368877848,-0.027406211600000008,0.8457801749,0.8929402536000001,0.04716007870000005
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,hip,hip_flexion_r,0.1461713202,0.10053748100000001,-0.0456338392,0.8792898832,0.942894843,0.06360495980000003
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip,hip_flexion_l,0.2761184043,0.1557888797,-0.12032952460000002,0.3618480412,0.7968549213,0.4350068801
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip,hip_flexion_r,0.2701224732,0.1588656612,-0.11125681199999998,0.3812645181,0.7859852746,0.4047207565
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,hip,hip_flexion_l,0.1030994144,0.1512512029,0.04815178849999999,0.7358176212,0.4314232147,-0.30439440650000005
AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD_0p8mps,hip,hip_flexion_r,0.142483567,0.1546597126,0.012176145599999993,0.6022981945,0.5314214521,-0.07087674239999997
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,hip,hip_flexion_l,0.1400115686,0.1587211127,0.018709544100000003,0.6622683713,0.5659764541,-0.09629191720000008
AB04_Changseob::LG_0p8mps,AB04_Changseob,LG_0p8mps,hip,hip_flexion_r,0.0916696756,0.0977154097,0.006045734100000005,0.8055650071,0.7790728173,-0.02649218980000001
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,hip,hip_flexion_l,0.16035250480000002,0.1631325126,0.002780007799999984,0.8295633807,0.8236024838,-0.005960896900000012
AB04_Changseob::LG_1p2mps,AB04_Changseob,LG_1p2mps,hip,hip_flexion_r,0.11667122240000001,0.1043379114,-0.012333311000000013,0.8859766767,0.9088093153000001,0.022832638600000066
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,hip,hip_flexion_l,0.17392431460000002,0.2084281759,0.034503861299999994,0.8992402150000001,0.8552963498,-0.04394386520000004
AB04_Changseob::LG_1p6mps,AB04_Changseob,LG_1p6mps,hip,hip_flexion_r,0.1506181485,0.1610213784,0.010403229900000005,0.9093313834000001,0.8963738269,-0.012957556500000078
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,hip,hip_flexion_l,0.1817487503,0.2185330522,0.03678430189999998,0.838840425,0.7670045126,-0.07183591239999998
AB04_Changseob::RA_0p8mps,AB04_Changseob,RA_0p8mps,hip,hip_flexion_r,0.2094656255,0.2063681023,-0.0030975232000000075,0.7162209115,0.7245517582000001,0.00833084670000006
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,hip,hip_flexion_l,0.1611535978,0.194221563,0.03306796520000002,0.2455996577,-0.095763311,-0.3413629687
AB04_Changseob::RD_0p8mps,AB04_Changseob,RD_0p8mps,hip,hip_flexion_r,0.11605589250000001,0.1404055367,0.024349644199999992,0.6588232998,0.5006403565,-0.15818294329999993
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,hip,hip_flexion_l,0.1477858032,0.11392608480000001,-0.0338597184,0.8064677932000001,0.8849903819,0.07852258869999995
AB05_Maria::LG_1p2mps,AB05_Maria,LG_1p2mps,hip,hip_flexion_r,0.16685719440000002,0.0977618222,-0.06909537220000002,0.7375697172,0.9099128910000001,0.17234317380000008
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,hip,hip_flexion_l,0.1523456483,0.1165384661,-0.035807182199999996,0.8974913699,0.9400155173,0.04252414739999999
AB05_Maria::LG_1p6mps,AB05_Maria,LG_1p6mps,hip,hip_flexion_r,0.15932426460000002,0.08103672,-0.07828754460000001,0.8777144613000001,0.9683644809,0.09065001959999996
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,hip,hip_flexion_l,0.2036866512,0.1287193557,-0.0749672955,0.6240917386,0.8498779630000001,0.22578622440000007
AB05_Maria::RA_0p8mps,AB05_Maria,RA_0p8mps,hip,hip_flexion_r,0.2557853487,0.13845802670000001,-0.11732732200000001,0.40943728430000004,0.826958221,0.4175209367
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,hip,hip_flexion_l,0.1832507269,0.22430999470000001,0.04105926780000002,0.3740097785,0.0620636072,-0.3119461713
AB05_Maria::RD_0p8mps,AB05_Maria,RD_0p8mps,hip,hip_flexion_r,0.1626054351,0.21032641,0.04772097489999999,0.4923557525,0.1506690074,-0.3416867451
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,hip,hip_flexion_l,0.1114705206,0.1808858845,0.06941536390000001,0.7787212615,0.4173215132,-0.3613997483
AB06_Jimin::LG_0p8mps,AB06_Jimin,LG_0p8mps,hip,hip_flexion_r,0.1001517543,0.1804802405,0.0803284862,0.8254260739,0.43308026,-0.3923458139
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,hip,hip_flexion_l,0.1106957413,0.1258518689,0.0151561276,0.9209733994,0.8978517778,-0.023121621599999975
AB06_Jimin::LG_1p2mps,AB06_Jimin,LG_1p2mps,hip,hip_flexion_r,0.1283969564,0.1238442814,-0.004552675000000006,0.8903634381000001,0.8980005418,0.007637103699999925
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,hip,hip_flexion_l,0.1471750595,0.170674193,0.02349913349999999,0.9345075146,0.9119237636,-0.022583750999999985
AB06_Jimin::LG_1p6mps,AB06_Jimin,LG_1p6mps,hip,hip_flexion_r,0.138648893,0.1458705191,0.007221626100000017,0.9388881579,0.9323562589000001,-0.006531898999999952
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,hip,hip_flexion_l,0.1412841307,0.27746798840000003,0.13618385770000002,0.8816129859,0.5433924685,-0.33822051740000003
AB06_Jimin::RA_0p8mps,AB06_Jimin,RA_0p8mps,hip,hip_flexion_r,0.14355560720000002,0.2901484219,0.1465928147,0.8841335732000001,0.5266768796,-0.3574566936000001
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,hip,hip_flexion_l,0.0820954262,0.1543433193,0.0722478931,0.8315248616,0.4045112375,-0.42701362410000004
AB06_Jimin::RD_0p8mps,AB06_Jimin,RD_0p8mps,hip,hip_flexion_r,0.0877199365,0.15857806500000002,0.07085812850000002,0.8306780485,0.446646225,-0.38403182350000004
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,hip,hip_flexion_l,0.1458383011,0.1896750245,0.0438367234,0.7051397851,0.5012380866,-0.20390169849999995
AB07_Amy::LG_0p8mps,AB07_Amy,LG_0p8mps,hip,hip_flexion_r,0.1412189895,0.1776228201,0.03640383059999999,0.7009550844,0.5269056671,-0.1740494173
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,hip,hip_flexion_l,0.132892024,0.1358286777,0.0029366537000000137,0.8834657327000001,0.8782584676,-0.005207265100000025
AB07_Amy::LG_1p2mps,AB07_Amy,LG_1p2mps,hip,hip_flexion_r,0.14982938610000002,0.12580362250000002,-0.0240257636,0.8367452311,0.8849045461,0.048159315000000036
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,hip,hip_flexion_l,0.1833110281,0.1856205519,0.0023095238000000184,0.9063390292,0.903964105,-0.0023749241999999615
AB07_Amy::LG_1p6mps,AB07_Amy,LG_1p6mps,hip,hip_flexion_r,0.1702185374,0.1589852934,-0.011233244000000003,0.9049958336,0.9171213158,0.012125482199999982
