trial,channel,joint,subject,condition,rmse_full,r2_full,rmse_single,r2_single,delta_rmse,delta_r2,single_worse_rmse,single_worse_r2
AB03_Ilseung::LG_0p8mps,ankle_angle_l,ankle,AB03_Ilseung,LG_0p8mps,0.0844634115,0.9651917489,0.1013290819,0.9499028314,0.016865670400000005,-0.015288917500000054,True,True
AB03_Ilseung::RA_0p8mps,hip_flexion_r,hip,AB03_Ilseung,RA_0p8mps,0.2701224732,0.3812645181,0.1588656612,0.7859852746,-0.11125681199999998,0.4047207565,False,False
AB03_Ilseung::RA_0p8mps,knee_angle_r,knee,AB03_Ilseung,RA_0p8mps,0.07913993970000001,0.9294320737,0.10808020360000001,0.8683841376,0.0289402639,-0.06104793610000003,True,True
AB03_Ilseung::RA_0p8mps,ankle_angle_r,ankle,AB03_Ilseung,RA_0p8mps,0.1316769182,0.9378704579,0.16942235960000002,0.8971462105,0.037745441400000024,-0.040724247400000024,True,True
AB03_Ilseung::RA_0p8mps,hip_flexion_l,hip,AB03_Ilseung,RA_0p8mps,0.2761184043,0.3618480412,0.1557888797,0.7968549213,-0.12032952460000002,0.4350068801,False,False
AB03_Ilseung::RA_0p8mps,knee_angle_l,knee,AB03_Ilseung,RA_0p8mps,0.0683803087,0.9122468306,0.1337578238,0.6642321683,0.0653775151,-0.24801466230000002,True,True
AB03_Ilseung::RA_0p8mps,ankle_angle_l,ankle,AB03_Ilseung,RA_0p8mps,0.10869475290000001,0.9541635089,0.11584666980000001,0.9479331491,0.007151916899999999,-0.006230359799999974,True,True
AB03_Ilseung::RD_0p8mps,hip_flexion_r,hip,AB03_Ilseung,RD_0p8mps,0.142483567,0.6022981945,0.1546597126,0.5314214521,0.012176145599999993,-0.07087674239999997,True,True
AB03_Ilseung::RD_0p8mps,knee_angle_r,knee,AB03_Ilseung,RD_0p8mps,0.0807824739,0.9447055899000001,0.1038135053,0.9086823676,0.0230310314,-0.0360232223000001,True,True
AB03_Ilseung::RD_0p8mps,ankle_angle_r,ankle,AB03_Ilseung,RD_0p8mps,0.1557973221,0.8663110124000001,0.1523922071,0.8720909789,-0.0034051149999999863,0.0057799664999999,False,False
AB03_Ilseung::RD_0p8mps,hip_flexion_l,hip,AB03_Ilseung,RD_0p8mps,0.1030994144,0.7358176212,0.1512512029,0.4314232147,0.04815178849999999,-0.30439440650000005,True,True
AB03_Ilseung::RD_0p8mps,knee_angle_l,knee,AB03_Ilseung,RD_0p8mps,0.1022864891,0.8717703646,0.1516206263,0.7182470733,0.0493341372,-0.15352329129999998,True,True
AB03_Ilseung::RD_0p8mps,ankle_angle_l,ankle,AB03_Ilseung,RD_0p8mps,0.17870135550000002,0.8071469537,0.1621961804,0.8411262834000001,-0.01650517510000002,0.03397932970000006,False,False
AB03_Ilseung::LG_1p2mps,hip_flexion_r,hip,AB03_Ilseung,LG_1p2mps,0.1480899977,0.7477354339000001,0.0911856136,0.9043560620000001,-0.0569043841,0.1566206281,False,False
AB03_Ilseung::LG_1p2mps,knee_angle_r,knee,AB03_Ilseung,LG_1p2mps,0.0690840945,0.9117889591,0.061574374,0.9299244012000001,-0.007509720499999997,0.018135442100000065,False,False
AB03_Ilseung::LG_1p2mps,ankle_angle_r,ankle,AB03_Ilseung,LG_1p2mps,0.1403779253,0.9295653297,0.10951342300000001,0.9571329543,-0.0308645023,0.02756762459999995,False,False
AB03_Ilseung::LG_1p2mps,hip_flexion_l,hip,AB03_Ilseung,LG_1p2mps,0.142377405,0.7573303172,0.1056960157,0.8662632978,-0.036681389300000006,0.1089329806,False,False
AB03_Ilseung::LG_1p2mps,knee_angle_l,knee,AB03_Ilseung,LG_1p2mps,0.08445161670000001,0.8580115621000001,0.055643892300000004,0.9383586633000001,-0.028807724400000005,0.08034710119999999,False,False
AB03_Ilseung::LG_1p2mps,ankle_angle_l,ankle,AB03_Ilseung,LG_1p2mps,0.16337087190000002,0.9049978016,0.1255092036,0.9439293554,-0.03786166830000001,0.03893155380000002,False,False
AB03_Ilseung::LG_1p6mps,hip_flexion_r,hip,AB03_Ilseung,LG_1p6mps,0.1461713202,0.8792898832,0.10053748100000001,0.942894843,-0.0456338392,0.06360495980000003,False,False
AB03_Ilseung::LG_1p6mps,knee_angle_r,knee,AB03_Ilseung,LG_1p6mps,0.0949717496,0.8979166156,0.1178739711,0.8427458876,0.0229022215,-0.055170728,True,True
AB03_Ilseung::LG_1p6mps,ankle_angle_r,ankle,AB03_Ilseung,LG_1p6mps,0.1636283593,0.9294334994000001,0.1982918249,0.8963686754,0.0346634656,-0.033064824000000104,True,True
AB03_Ilseung::LG_1p6mps,hip_flexion_l,hip,AB03_Ilseung,LG_1p6mps,0.1642939964,0.8457801749,0.1368877848,0.8929402536000001,-0.027406211600000008,0.04716007870000005,False,False
AB03_Ilseung::LG_1p6mps,knee_angle_l,knee,AB03_Ilseung,LG_1p6mps,0.1008880055,0.8858831672,0.09718419240000001,0.8941083057,-0.0037038130999999946,0.008225138499999951,False,False
AB03_Ilseung::LG_1p6mps,ankle_angle_l,ankle,AB03_Ilseung,LG_1p6mps,0.1982883013,0.8929312825,0.2072258306,0.8830618566,0.008937529299999997,-0.00986942589999995,True,True
