trial,subject,condition,channel,rmse_awinda_nmpkg,r2_awinda,rmse_vicon_nmpkg,r2_vicon,rmse_reduction_pct,r2_increase,corr_angle
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,knee_angle_l,0.08445161680261053,0.8894855891070287,0.07011244532699128,0.9461504782893155,16.979155661559822,0.05666488918228685,0.9840307198794326
AB03_Ilseung::LG_1p2mps,AB03_Ilseung,LG_1p2mps,ankle_angle_l,0.1633708726830228,0.9102207240861462,0.07741792637925578,0.9789186867511861,52.61216084126304,0.06869796266503991,0.8701973467188294
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,hip_flexion_r,0.14617132040794673,0.8972592601732221,0.09807636795781634,0.9490952677350094,32.90313880719084,0.0518360075617873,0.9933797692162095
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,knee_angle_r,0.09497174971184011,0.9270799169403636,0.06314611415465007,0.9725040178703646,33.510634113569814,0.04542410093000093,0.9875034890825327
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,ankle_angle_r,0.16362835984064908,0.933812836148979,0.11054088794701031,0.9762619957591753,32.4439308353017,0.04244915961019624,0.923097398361058
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,hip_flexion_l,0.16429399619446827,0.8628380963567391,0.10764940597210075,0.9356848718507911,34.47757771703329,0.07284677549405194,0.9936546309506523
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,knee_angle_l,0.1008880052778973,0.9073941702507496,0.0655203046357131,0.9647600958915109,35.05639797789978,0.05736592564076126,0.9817489434325273
AB03_Ilseung::LG_1p6mps,AB03_Ilseung,LG_1p6mps,ankle_angle_l,0.1982883007582826,0.9014725875841013,0.11952806935952727,0.9825081455056092,39.72005967954994,0.08103555792150785,0.8465408799529741
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,hip_flexion_r,0.2701224730456215,0.7433181485923596,0.2243914498799628,0.800695410976739,16.929736593199003,0.05737726238437946,0.9961405587115043
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,knee_angle_r,0.07913993954201955,0.9437728068714312,0.0758637105904164,0.9449500285884868,4.13979208293889,0.0011772217170555876,0.9965692623364747
AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA_0p8mps,ankle_angle_r,0.13167691783791452,0.9421480960272554,0.08925124467615696,0.9723339909397376,32.219521734234945,0.030185894912482247,0.9812088273156583
