trial,trial_key,subject,task,condition,rmse_nmpkg,r2_nmpkg,offset_s,sync_method,platform,channel,source,lag_samples,xcorr_score,n_samples,speed_mps,rmse_vicon_oracle_nmpkg,r2_vicon_oracle_nmpkg,model_in_ang_rmse_deg,model_in_vel_rmse_deg_s,rmse_enc_vs_vicon_nmpkg,encoder_replay_excluded,encoder_correction_note,encoder_xcorr_lag_samples,encoder_offset_deg,encoder_peak_trough_applied,encoder_peak_trough_lag_med,encoder_angle_key
ab02_oscar_knee_0p8mps_ra_exo_on,AB02_Oscar::RA_0p8mps,AB02_Oscar,RA,RA_0p8mps,0.2106573338163978,0.5607466619158934,-0.2094874659996857,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1094672283726984,0.881387584968035,5.460279622174845,35.897402883782235,0.1692872915531251,False,no LPF; logged raw vel; GT ID xcorr shift +0 samples; peak/trough align lag_med=+3.0 pairs=80; GT↔vicon-pred xcorr lag +6 (r=0.943),0.0,0.0,True,3.0,model_in_knee_angle_raw
ab02_oscar_knee_0p8mps_rd_exo_on,AB02_Oscar::RD_0p8mps,AB02_Oscar,RD,RD_0p8mps,0.230899887364799,0.6398639065534503,-0.2330710799993611,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1656661055037294,0.8146099024366338,7.130724536090676,44.53217436860327,0.1067653204793994,False,no LPF; logged raw vel; GT ID xcorr shift +0 samples; peak/trough align lag_med=+3.0 pairs=107; GT↔vicon-pred xcorr lag +4 (r=0.942),0.0,0.0,True,3.0,model_in_knee_angle_raw
ab03_ilseung_knee_0p8mps_ra_exo_on,AB03_Ilseung::RA_0p8mps,AB03_Ilseung,RA,RA_0p8mps,0.1778335210428336,0.7281593876016608,-0.1800571529999799,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.171193417212332,0.7480808356396242,9.07329610821808,42.43887040774848,0.0743649174179036,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab03_ilseung_knee_0p8mps_rd_exo_on,AB03_Ilseung::RD_0p8mps,AB03_Ilseung,RD,RD_0p8mps,0.2592545717411991,0.3477269847630442,-0.1960534950002475,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.160101489880549,0.7512475815968743,5.18470576725893,58.21568222116837,0.2179793533897544,False,no LPF; logged raw vel; GT ID xcorr shift +2 samples,2.0,0.0,False,,model_in_knee_angle_raw
ab04_changseob_knee_0p8mps_ra_exo_on,AB04_Changseob::RA_0p8mps,AB04_Changseob,RA,RA_0p8mps,0.1249489490863693,0.8147275335493859,-0.2130571039999953,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1150772658630986,0.8428462540537952,8.429706217779923,37.95551013491751,0.0709905695756815,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab04_changseob_knee_0p8mps_rd_exo_on,AB04_Changseob::RD_0p8mps,AB04_Changseob,RD,RD_0p8mps,0.1831144901098224,0.7175781346684589,-0.2300380129999166,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1616706537897733,0.7798517273053025,4.723350188731591,61.36890604296183,0.1309408356619066,False,no LPF; logged raw vel; GT ID xcorr shift +2 samples,2.0,0.0,False,,model_in_knee_angle_raw
ab05_maria_knee_0p8mps_ra_exo_on,AB05_Maria::RA_0p8mps,AB05_Maria,RA,RA_0p8mps,0.1837990979292612,0.7282366127124311,-0.2400670669999545,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1430060150748398,0.8354822331280327,10.568246616772685,51.11425308482735,0.1005309646440866,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab05_maria_knee_0p8mps_rd_exo_on,AB05_Maria::RD_0p8mps,AB05_Maria,RD,RD_0p8mps,0.2287778858041361,0.3843118593825072,-0.2290735149999854,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.2483789246598506,0.2742915352028123,3.042412158808379,26.955232321053707,0.1046227908545091,False,no LPF; logged raw vel; GT ID xcorr shift +0 samples; peak/trough align lag_med=+3.0 pairs=98; GT↔vicon-pred xcorr lag +1 (r=0.897),0.0,0.0,True,3.0,model_in_knee_angle_raw
ab06_jimin_knee_0p8mps_ra_exo_on,AB06_Jimin::RA_0p8mps,AB06_Jimin,RA,RA_0p8mps,0.2065578379015321,0.5076325921195703,-0.2370341450000086,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.146811981853358,0.7512695578942784,15.764391781745598,44.79861919494136,0.1253983449548979,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
ab06_jimin_knee_0p8mps_rd_exo_on,AB06_Jimin::RD_0p8mps,AB06_Jimin,RD,RD_0p8mps,0.1694212340260915,0.7072332843450431,-0.2300519210000584,,knee_exo_assisted,knee_angle_r,assisted,,,,0.8,0.1092854558668241,0.878182198968996,11.34262993834158,74.48777190559383,0.1163995719378285,False,no LPF; logged raw vel; GT ID xcorr shift +3 samples,3.0,0.0,False,,model_in_knee_angle_raw
